zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,А6,Плата контроллера ШСК-М  195-9530-3323/21,1,,БЗ.doc,doc,ics,-,1
,D1 - D3,"Микросхема DS18B20,  ф. Maxim Integrated",3,,БЗ.doc,doc,ics,-,3
,U1,"Передающий оптический модуль MP2320TX-D-3-5-S-4-2-9,",1,,БЗ.doc,doc,ics,-,2
,U2,"Приемный оптический модуль MP2320RX-D-1-5-4-2-9,",1,,БЗ.doc,doc,ics,-,2
,U3,"Передающий оптический модуль MP2320TX-D-3-5-S-4-2-9,",1,,БЗ.doc,doc,ics,-,2
,U4,"Приемный оптический модуль MP2320RX-D-1-5-4-2-9,",1,,БЗ.doc,doc,ics,-,2
