zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,,   ,1802,"QFA1802-18-1-S
QFA1802-18-2-S,",БЗ.doc,doc,unclassified,-,108583
,,   ,1802,"QFA1802-18-3-S
QFA1802-18-4-S,",БЗ.doc,doc,unclassified,-,108583
,,   ,1802,"QFA1802-18-6-S,
QFA1802-18-7-S,",БЗ.doc,doc,unclassified,-,108583
,,   ,1802,"QFA1802-18-8-S,
QFA1802-18-9-S,",БЗ.doc,doc,unclassified,-,108583
,,   ,1802,"QFA1802-18-10-S,
ф. Qualwave;",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 025 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 025 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 025 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 025 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,   ,9,"p/n: 09 67 015 4715, ф. Harting",БЗ.doc,doc,unclassified,-,108583
,,"05К 432–К00S3,  ф. Rosenberger",2,"Доп. замена:
QASNL-FF,",БЗ.doc,doc,unclassified,-,2
,,   ,1,ф. Qualwave,БЗ.doc,doc,unclassified,-,108583
,,   ,87300,"USB-microUSB 87300, ф. Defender",БЗ.doc,doc,unclassified,-,108583
,,"Изм. изме-
ненных заме-
ненных новых анули-
рован-
ных Всего
листов
(страниц)
в докум. №
докум. Входя-
щий №
сопрово-
дитель-
ного докум. и дата Подп.",1,,БЗ.doc,doc,unclassified,-,1
,,Лист регистрации изменений,1,,БЗ.doc,doc,unclassified,-,1
