zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,R1,"Резистор С2-33-0,125-220 Ом 5%-А-Д-В ОЖ0.467.093ТУ",1,,БЗ.doc,doc,resistors,-,1
,R2,"Резистор С2-33-0,5-2,4 кОм 5%-А-Д-В  ОЖ0.467.093ТУ",1,,БЗ.doc,doc,resistors,-,1
,R3,Резистор С2-33-2-56 Ом 5%-А-Д-В  ОЖ0.467.093ТУ,1,,БЗ.doc,doc,resistors,-,1
