zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,,ф. Microwave Photonic Systems,1,,БЗ.doc,doc,rf_modules,-,4
,,ф. Microwave Photonic Systems,1,,БЗ.doc,doc,rf_modules,-,4
,,ф. Microwave Photonic Systems,1,,БЗ.doc,doc,rf_modules,-,4
,,ф. Microwave Photonic Systems,1,,БЗ.doc,doc,rf_modules,-,4
,W3,"Усилитель ВЧ    ZX60-P105 LN+, ф. Mini-Circuits",1,,БЗ.doc,doc,rf_modules,-,2
,W6,"Усилитель ВЧ    ZX60-P105 LN+, ф. Mini-Circuits",1,,БЗ.doc,doc,rf_modules,-,2
,WU1*,"Аттенюатор VAT-5A+,  ф. Mini-Circuits",1,"VAT-1A+, VAT-3A+, VAT-7A+, VAT-10A+;",БЗ.doc,doc,rf_modules,-,2
,WU2*,"Аттенюатор VAT-4A+,  ф. Mini-Circuits",1,"VAT-1A+, VAT-2A+, VAT-6A+, VAT-8A+;",БЗ.doc,doc,rf_modules,-,1
,WU4*,"Аттенюатор VAT-5A+,  ф. Mini-Circuits",1,"VAT-1A+, VAT-2A+, VAT-3A+, VAT-4A+,",БЗ.doc,doc,rf_modules,-,2
