zone,reference,description,qty,note,source_file,source_sheet,category,Код МР,Общее количество
,1,"Ethernet кабель RPCE-01-E-00.50-D-C5E,  ф. Samtec",1,“LAN”,БЗ.doc,doc,cables,-,1
,2,"Кабель-адаптер  A-OTG-AFBM-001,  ф. Gembird",1,"Доп.замена:
Кабель-адаптер",БЗ.doc,doc,cables,-,1
,3,"USB кабель RPCU-G-00.50-BMS-AM,  ф. Samtec",1,“USB”,БЗ.doc,doc,cables,-,1
